,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1641,38044470,https://www.airbnb.com/rooms/38044470,20240917031253,2024-09-17,city scrape,Voted best neighborhood in Chicago.  KING size bed,Everyone’s favorite  ....The Classic Chicago Red Brick two flat with a charming first floor apartment. KING SIZE BED,"Ideal for tourists and travelers / business trips / weekend getaway/ interns/ travel nurses/ Cubs, Bears, White Sox, Bulls, Blackhawks United Center concerts / McCormick Place conventions/ Parents coming to visit children at nearby schools DePaul , School of the Art Institute , Northwestern <br /><br /> Located  in the center of everything  Logan Square has to offer makes this  beautiful and safe neighborhood the perfect home-base for exploring all of Chicago. <br /><br /> You will love the easy access to transportation . This will help you get to all the Chicago hot spots like the downtown area or lakefront quickly. <br /><br />After exploring  you just hop back on the train. It’s always a treat to check out the city from the train . Then come home to a true Chicago neighborhood that always has something going on. .<br /><br />Easy and safe public transportation to Cubs, Bears, White Sox as well as Bulls / Blackhawks at United Center .  All of these venues also have various concerts a",https://a0.muscache.com/pictures/960a7667-1608-4516-bf90-9b74dd40a4cc.jpg,20829369,https://www.airbnb.com/users/show/20829369,Joe,2014-09-02,"Chicago, IL",,,,100%,t,https://a0.muscache.com/im/pictures/user/96373414-140c-4144-b266-97125f5f2eba.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/96373414-140c-4144-b266-97125f5f2eba.jpg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,Neighborhood highlights,Logan Square,,41.93003,-87.70178,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""Shower gel"", ""Pocket wifi"", ""Refrigerator"", ""44 inch TV with DVD player, premium cable, Roku, Netflix, Amazon Prime Video"", ""First aid kit"", ""Portable fans"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Central heating"", ""Self check-in"", ""Stove"", ""Exterior security cameras on property"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Bathtub"", ""Room-darkening shades"", ""Lockbox"", ""Long term stays allowed"", ""Rice maker"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Body soap"", ""Victrola sound system with Bluetooth and aux"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Window AC unit"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Board games"", ""Beach essentials"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$226.00,32,44,32,32,1125,1125,32.0,1125.0,,t,14,33,47,121,2024-09-17,82,11,0,2019-09-17,2023-12-10,4.94,4.96,4.93,4.98,4.98,4.98,4.85,R23000096622,f,1,1,0,0,1.35
1743,39559681,https://www.airbnb.com/rooms/39559681,20240917031253,2024-09-17,city scrape,1bd heated AC Walk to Metra & blue line,"1bd/1bth Heated Northwest side apartment down the street from shopping and restaurants. Very clean, new appliances TV <br />You can’t go wrong here!<br />ALL NEW! Modern. A/C, fast WiFi,  washer/dryer Garden Patio with sitting .<br />The bedrooms comes with queen size bed and large closets <br />Kitchen with dining area and all necessary amenities.<br />Work station.<br />Easy Free Street Parking- No Permits<br />Chicago-Jefferson Park residential neighborhood<br />Near Airport, Chicago Loop, Highways and public transportation","Jefferson Park has long been one of Chicago's transportation hubs, earning the neighborhood the nickname as ""The Gateway to Chicago"". The neighborhood is served by a Blue Line station in the median of the Kennedy Expressway at the intersection of Milwaukee and Gale Street, less than three blocks away from the Copernicus Center",https://a0.muscache.com/pictures/miso/Hosting-39559681/original/bbe14d31-1e4d-48b4-a9e4-5225e9545532.jpeg,110050671,https://www.airbnb.com/users/show/110050671,Mark,2017-01-05,"Park Ridge, IL","Mark has over 30 years of  professional experience in guest hosting, renting and property management.  His long relationship with top Chicago  International  hotel -The Drake Hotel, gives him an excellent experience in  providing top quality host service.
Mark, is also a license Realtor with over 25 years of professionalism in real estate investments, management and international transactions. Of course, designing, renovations and remodeling that's his  passion.
 ",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/505f2296-cc18-48d2-9a60-2aaf1523cebc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/505f2296-cc18-48d2-9a60-2aaf1523cebc.jpg?aki_policy=profile_x_medium,Jefferson Park,7,9,"['email', 'phone']",t,f,Neighborhood highlights,Jefferson Park,,41.9695,-87.75373,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Radiant heating"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Exterior security cameras on property"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Dryer \u2013 In building"", ""Hangers"", ""Oven"", ""Private entrance"", ""Private patio or balcony"", ""Lockbox"", ""Long term stays allowed"", ""Central air conditioning"", ""Body soap"", ""Stainless steel gas stove"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Washer \u2013\u00a0In building"", ""Dishes and silverware"", ""65 inch HDTV"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Single level home"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$69.00,32,160,32,32,160,160,32.0,160.0,,t,0,0,10,146,2024-09-17,34,2,0,2020-09-18,2024-08-04,4.97,4.91,5.0,5.0,4.97,4.91,4.82,R19000049466,f,2,2,0,0,0.7
1823,40532205,https://www.airbnb.com/rooms/40532205,20240917031253,2024-09-17,city scrape,Cozy 2BD/1BA in Charming Logan Square,"This clean and comfortable 2 BD/ 1 BA garden unit in Logan Square is the perfect spot to come back to after a day of exploring the Windy City! Just a quick 8-minute walk to the Logan Square Blue Line L stop, you'll be able to get downtown and back with ease. Cozy up by the electric fireplace when it's cold outside or take a stroll through the vibrant neighborhood in nicer weather– either way, you're sure to feel at home here.<br /><br />Please note - family with 2 small children who wake up at 6 upstairs","Cheap eats and bike-friendly streets. Gourmet coffee, scruffy dive bars and artisanal cocktail lounges. Some may say it's a recipe for a hipster haven but there's a proud, working-class sensibility that keeps this Northwest Side neighborhood grounded. In Logan Square, the strong neighborly connection is evident all around, from active preservation groups to community gardens and a locally-run farmers market. ""Local"" being the key word when describing many aspects of the scene: ingredients are sourced locally at their buzz-worthy restaurants; corner taps tout local, craft brews; galleries showcase local artists; and concerts and street fests promote local, upstart bands.",https://a0.muscache.com/pictures/23362121-faf8-4632-9f8b-5ee84861887d.jpg,12011216,https://www.airbnb.com/users/show/12011216,Mark,2014-02-06,"Chicago, IL","Chicago native and Albuquerque transplant with a history of sharing Chicago with friends family and strangers. 

Our neighborhood of Logan Square has plenty of 'can't miss' restaurants and bars including Cafe Lula, Parson's, Longman and Eagle, and Slippery Slope within a few blocks. ",within an hour,90%,100%,f,https://a0.muscache.com/im/users/12011216/profile_pic/1393636273/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/12011216/profile_pic/1393636273/original.jpg?aki_policy=profile_x_medium,Logan Square,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Logan Square,,41.92846,-87.7014,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Pets allowed"", ""Central heating"", ""Stove"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Bathtub"", ""Room-darkening shades"", ""TV"", ""Air conditioning"", ""Outdoor furniture"", ""Children\u2019s books and toys"", ""Paid parking off premises"", ""Long term stays allowed"", ""Lockbox"", ""Hot water kettle"", ""Outdoor dining area"", ""Coffee maker"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Toaster"", ""Shared patio or balcony"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Portable heater"", ""Freezer"", ""Baking sheet"", ""Sound system with Bluetooth and aux"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$100.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,8,33,62,332,2024-09-17,157,16,2,2019-12-15,2024-09-01,4.67,4.84,4.69,4.97,4.89,4.96,4.78,R21000075331,f,1,1,0,0,2.71
1947,42076047,https://www.airbnb.com/rooms/42076047,20240917031253,2024-09-17,city scrape,Modern Hyde Park Getaway | UChicago,"This modern and comfortable condo is truly a gem located in Hyde Park, one of Chicagos hottest neighborhoods.","This area is pedestrian friendly, so you will be walking distance to everything needed or desired during your stay. This includes local convenience and grocery stores, restaurants, fitness gyms, and parks. <br /><br />In addition, the University of Chicago, Museum of Science and Industry, 57th Street Beach, and the famous Frank Lloyd Wright’s Robie House are all in the Hyde Park neighborhood.",https://a0.muscache.com/pictures/aa4aa4fa-1941-4c4e-85fe-aa7c35603cee.jpg,35485906,https://www.airbnb.com/users/show/35485906,Erika,2015-06-10,"Chicago, IL",Millennial travel enthusiast,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/24ec6063-18ef-4b25-b3d3-ad3ec0f53e84.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/24ec6063-18ef-4b25-b3d3-ad3ec0f53e84.jpg?aki_policy=profile_x_medium,Hyde Park,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Hyde Park,,41.80142,-87.60331,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dining table"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Bathtub"", ""Room-darkening shades"", ""Central air conditioning"", ""50 inch HDTV with standard cable"", ""Hot water kettle"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Clothing storage: wardrobe"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Gas stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$113.00,5,20,3,10,1125,1125,6.3,1125.0,,t,0,12,42,99,2024-09-17,165,23,2,2020-02-29,2024-09-07,4.82,4.85,4.71,4.95,4.98,4.84,4.76,R20000054213,f,2,2,0,0,2.98
2318,46984326,https://www.airbnb.com/rooms/46984326,20240917031253,2024-09-17,city scrape,Private Historic Coach House Wicker Park,"Location, location, location! Private quiet clean coach house with two bedrooms and one bath in the heart of Wicker Park on historic street.  Steps away from from bars, breweries, coffee shops, award winning restaurants and retail shops. Walking distance to Blue Line train stops at Division/Damen and Division/Ashland.  Blue Line train is approximately a 30 minutes to OHare airport and approximately 10 minute ride to downtown Chicago. <br /><br />Easy access to and from I-90/-94 only approximately 1 mile.","Wicker Park and Bucktown are artsy neighborhoods always have something cool going on. They are hives of activity that draw shoppers hunting for unique finds, foodies looking for the trendiest eats and bar hoppers searching for late-night buzz.",https://a0.muscache.com/pictures/efd7a8a0-1b7c-49d9-a9b9-1be045c9f719.jpg,255603001,https://www.airbnb.com/users/show/255603001,Mark,2019-04-13,"Chicago, IL",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/12c1a74a-090e-49f3-a5c0-b4c30494a1d3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/12c1a74a-090e-49f3-a5c0-b4c30494a1d3.jpg?aki_policy=profile_x_medium,West Town,1,1,"['email', 'phone']",t,t,Neighborhood highlights,West Town,,41.90138,-87.67707,Entire guesthouse,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Shower gel"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Stainless steel oven"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Exterior security cameras on property"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Private patio or balcony"", ""Room-darkening shades"", ""Outdoor furniture"", ""Air conditioning"", ""Long term stays allowed"", ""Hot water kettle"", ""Outdoor dining area"", ""Washer"", ""Body soap"", ""Stainless steel gas stove"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Toaster"", ""TV with standard cable"", ""Smoke alarm"", ""Single level home"", ""Extra pillows and blankets"", ""Sonos sound system"", ""Free street parking"", ""Keypad"", ""Blender"", ""Safe"", ""Board games"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$273.00,2,21,2,3,1125,1125,2.0,1125.0,,t,13,24,44,224,2024-09-17,84,14,1,2021-02-15,2024-09-08,4.98,4.99,5.0,5.0,5.0,4.98,4.94,R21000063501,t,1,1,0,0,1.92
2508,48924381,https://www.airbnb.com/rooms/48924381,20240917031253,2024-09-17,city scrape,Hoyne Penthouse #3 4 bed 2 bath Best Neighborhood,"This property is a third and fourth floor walk up penthouse. 2 bedrooms down and 2 up and 2 baths.  Large private master suite with king bed and Tv mounted on the wall. Location is just a block from the heart of the village with incredible shopping, dining and bars. Property has private deck and grill, shared enclosed backyard  Unit has private laundry.  2 car garage is available for rent.",,https://a0.muscache.com/pictures/6a52e21e-88a3-4224-856c-fb18bc260f19.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,,North Center,,41.94186,-87.68001,Entire condo,Entire home/apt,9,2.0,2 baths,4.0,4.0,"[""Refrigerator"", ""Wifi"", ""Pets allowed"", ""Central heating"", ""Dryer"", ""Shampoo"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Body soap"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Hot water""]",$230.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,0,0,3,278,2024-09-17,1,0,0,2021-12-29,2021-12-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,City registration pending,f,23,23,0,0,0.03
2509,48925715,https://www.airbnb.com/rooms/48925715,20240917031253,2024-09-17,city scrape,Hoyne Corp #2  Wonderful neighborhood 3bed/2bath,"3 Bedrooms, 2 Baths (Sleeps 8) Please Click on picture to see more of this unit!! Welcome To Roscoe Village Guesthouse Located in the Heart of Roscoe Village--""A village within the city.""<br /><br />Trendy Roscoe Village offers a variety of boutiques, restaurants and bars.  We are also located a short distance from Wrigley Field (1.3 miles).",,https://a0.muscache.com/pictures/d6a715b4-7905-4950-9035-bed6c65d7b0c.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,,North Center,,41.94161,-87.67977,Entire condo,Entire home/apt,8,3.0,3 baths,3.0,4.0,"[""Refrigerator"", ""Cooking basics"", ""Backyard"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Shampoo"", ""TV"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Body soap"", ""Washer"", ""Hair dryer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Kitchen"", ""Shared patio or balcony"", ""Hot water""]",$184.00,32,999,32,32,999,999,32.0,999.0,,t,30,60,90,365,2024-09-17,4,1,0,2021-05-30,2024-07-13,5.0,5.0,4.75,5.0,4.75,5.0,4.75,City registration pending,f,23,23,0,0,0.1
2513,48945171,https://www.airbnb.com/rooms/48945171,20240917031253,2024-09-17,city scrape,HoyneCorp #1 2b/1 bath Amazing family neighborhood,"Location: Chicago, Illinois, Roscoe Village one of Chicago's safest neighborhoods<br /><br />Accommodations: Apartment, 2 Bedrooms + 1 Baths (Sleeps 2-6) This 2 bedroom/1 bath fully furnished 1st floor apartment in the heart of Roscoe Village. <br /><br />So, Whether you’re planning a weekend excursion, business trip or need a comfortable place to stay for family or friends, consider our newly rehabbed Guesthouse on Roscoe Street. Trendy Roscoe Village offers boutique shopping and a variety of restaurants & bars.",,https://a0.muscache.com/pictures/97ef0467-3ed9-4c94-96b8-c561854a126a.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,,North Center,,41.94026,-87.68128,Entire condo,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Refrigerator"", ""Backyard"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Shampoo"", ""TV"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Body soap"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""Smoke alarm"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Hot water""]",$165.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,16,44,74,349,2024-09-17,4,1,0,2021-09-05,2024-06-30,4.75,4.75,5.0,4.25,3.75,5.0,4.75,City registration pending,t,23,23,0,0,0.11
2543,49223199,https://www.airbnb.com/rooms/49223199,20240917031253,2024-09-17,city scrape,2bd/1bt heated AC Wi-Fi Walk to Metra Blue I-90/94,"2bd/1bth Heated Northwest side apartment down the street from shopping and restaurants. Very clean, new appliances TV <br />You can’t go wrong here!<br />ALL NEW! Modern. A/C,  washer/dryer. Furnished Garden Patio.<br />The bedrooms comes with queen size bed and large closets <br />Kitchen with dining area and all necessary amenities.<br />Workstation and fast WiFi<br />Easy Free Street Parking- No Permits<br />Near Airport, Chicago Loop, Highways<br />Gross income 3x rent. $90/app fee per occupant above 18.","Jefferson Park has long been one of Chicago's transportation hubs, earning the neighborhood the nickname as ""The Gateway to Chicago"". The neighborhood is served by a Blue Line station in the median of the Kennedy Expressway at the intersection of Milwaukee and Gale Street, less than three blocks away from the Copernicus Center<br /><br />Why we love it<br />Jefferson Park has a rich cultural heritage, which means lots of authentic Eastern European eats. Plus, great festivals that celebrate everything from Polish culture to envelope-pushing arts and music.<br /><br />Insider tips<br />There’s something that feels a lot like home about residential, family-centric Jefferson Park.<br /><br />Every summer, festivals fill the neighborhood’s namesake park — and Taste of Polonia is one of the headliners. It’s the largest Polish festival in the United States, with tons of traditional Polish foods, live bands, and cultural performances. You’ll also find the Jeff Fest Arts & Music Festival here. ",https://a0.muscache.com/pictures/miso/Hosting-49223199/original/dcea91e2-92be-42f1-a08d-cd6776620f85.jpeg,110050671,https://www.airbnb.com/users/show/110050671,Mark,2017-01-05,"Park Ridge, IL","Mark has over 30 years of  professional experience in guest hosting, renting and property management.  His long relationship with top Chicago  International  hotel -The Drake Hotel, gives him an excellent experience in  providing top quality host service.
Mark, is also a license Realtor with over 25 years of professionalism in real estate investments, management and international transactions. Of course, designing, renovations and remodeling that's his  passion.
 ",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/505f2296-cc18-48d2-9a60-2aaf1523cebc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/505f2296-cc18-48d2-9a60-2aaf1523cebc.jpg?aki_policy=profile_x_medium,Jefferson Park,7,9,"['email', 'phone']",t,f,Neighborhood highlights,Portage Park,,41.96766,-87.75195,Entire condo,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Stainless steel oven"", ""Radiant heating"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Exterior security cameras on property"", ""65 inch HDTV with Roku"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Private patio or balcony"", ""Room-darkening shades"", ""Outdoor furniture"", ""Air conditioning"", ""Lockbox"", ""Clothing storage: closet"", ""Hot water kettle"", ""Outdoor dining area"", ""Body soap"", ""Stainless steel gas stove"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Laundromat nearby"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$85.00,32,160,32,32,1125,1125,32.0,1125.0,,t,0,0,10,146,2024-09-17,38,0,0,2021-04-26,2022-11-13,4.74,4.82,4.89,4.92,4.89,4.66,4.74,R19000049466,f,2,2,0,0,0.92
2653,50082351,https://www.airbnb.com/rooms/50082351,20240917031253,2024-09-17,city scrape,"Urban Garden Retreat, Chic Andersonville Getaway","Fully renovated 2-bedroom, 1-bath garden level apartment just steps away from all the amazing restaurants and shops in the Andersonville neighborhood.<br /><br />95 Walk Score (Very Walkable)<br />72 Transit Score (Excellent Transit)<br />75 Bike Score (Very Bikeable with a Divvy bike rental 0.2 miles away)<br />0.7 miles to the lake<br />0.8 miles to Little Vietnam<br />1.1 miles to Loyola University<br />2.5 miles to Wrigley Field","Welcome to Andersonville. A neighborhood on Chicago’s north side, Andersonville is known for its Swedish roots, historic architecture, and bustling urban main street, Clark Street. When you arrive in Andersonville, you feel you have arrived someplace special. While our roots are Swedish, we are also recognized as the “shop local capital of Chicago,”<br />supporting the largest network of local and independent businesses in the area. Home to one of Chicago’s largest LGBTQ+ populations, Andersonville is a community full of<br />pride and a commitment to equality. Andersonville is for everyone.",https://a0.muscache.com/pictures/hosting/Hosting-50082351/original/802a18c7-8963-4db4-8bd4-0803f681faf1.jpeg,408444858,https://www.airbnb.com/users/show/408444858,Joe,2021-06-21,"Chicago, IL","Born in California and raised in Texas, I have proudly called Chicago home for the past 8 years. Professionally, I am engaged in the aviation industry, which has taken me to numerous hotels over the years. Drawing from my extensive travel experiences, I strive to incorporate elements into my Airbnb that I personally value during my journeys.",,,,f,https://a0.muscache.com/im/pictures/user/a3d7a513-e7b0-4b8d-be34-e28cc91a465a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a3d7a513-e7b0-4b8d-be34-e28cc91a465a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Edgewater,,41.98517,-87.66657,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""Refrigerator"", ""Self check-in"", ""Dishwasher"", ""Central heating"", ""Exterior security cameras on property"", ""Smart lock"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Clothing storage: closet"", ""Hot water kettle"", ""Outdoor dining area"", ""Theme room"", ""TV with Amazon Prime Video, Fire TV, HBO Max, Hulu, Netflix"", ""Stainless steel gas stove"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Toaster"", ""Smoke alarm"", ""Free street parking"", ""Blender"", ""Board games"", ""Wifi \u2013 45 Mbps"", ""Freezer"", ""Coffee maker: drip coffee maker, french press, Nespresso"", ""Shared backyard \u2013 Fully fenced"", ""Kitchen"", ""Cooking basics"", ""Stainless steel single oven"", ""Microwave"", ""Hot water""]",$198.00,3,15,3,3,1125,1125,3.0,1125.0,,t,8,8,8,8,2024-09-17,88,28,4,2021-06-20,2024-09-14,4.95,4.98,4.95,4.97,4.99,4.98,4.9,R21000076002,f,1,1,0,0,2.23
